title,lon,price,misc,lat,date,details_link,hood
"OPEN HOUSE  SUN 8/2 11-1, PRICE IMPROVED! 6 BEDS! 13 MILES TO NYC!",,$550000,,,Jul 31,https://newyork.craigslist.org/brx/reb/d/orangeburg-open-house-sun-price/7153020071.html, (ORANGEBURG)
"Shared rooms for rent in transitional house, sober living",,$625,,,Jul 31,https://newyork.craigslist.org/lgi/reo/d/west-babylon-shared-rooms-for-rent-in/7167389357.html, (West Babylon)
LOST YOUR HOME IN FORECLOSURE? POS. $CASH$ REFUND FOR YOU NO FEE!,,$0,,,Jul 31,https://newyork.craigslist.org/que/reb/d/brooklyn-lost-your-home-in-foreclosure/7169196953.html, (All Boroughs)
"Shared rooms for rent in transitional house, sober living",,$625,,,Jul 31,https://newyork.craigslist.org/lgi/reo/d/west-babylon-shared-rooms-for-rent-in/7169202829.html, (West Babylon)
TIME TO MOVE FROM NYC! HERE IT IS! 15 MILES TO NYC,,$649000,,,Jul 31,https://newyork.craigslist.org/mnh/reb/d/congers-time-to-move-from-nyc-here-it/7155212349.html, (CONGERS)
CONGERS BEAUTY! CLARKSTOWN SCHOOLS,,$649000,,,Jul 31,https://newyork.craigslist.org/que/reb/d/congers-congers-beauty-clarkstown/7155218411.html, (CONGERS)
"107 Albany Ave, #3, Brooklyn, NY 11213",,$2200,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/brooklyn-107-albany-ave-3-brooklyn-ny/7169201631.html, (Brooklyn)
"For Sale One family Duplex Brick, 35th St & Ditmars area",,$1079000,,,Jul 31,https://newyork.craigslist.org/que/reb/d/astoria-for-sale-one-family-duplex/7169197314.html, (Astoria)
Renovated Studio - Kew Gardens,,$1450,,,Jul 31,https://newyork.craigslist.org/que/reo/d/kew-gardens-renovated-studio-kew-gardens/7169200981.html, (Kew Gardens)
Prime sunset park 5th.ave loc. 8 units+ 2 retails,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-prime-sunset-park-5thave-loc-8/7166089176.html, (Bklyn NY sunset park)
Portfolio of 6 sunset Park properties for sale by owner,,$0,,,Jul 31,https://newyork.craigslist.org/mnh/reo/d/brooklyn-portfolio-of-6-sunset-park/7161615391.html, (Bklyn ny sunset Park)
Package deal! Two 6 family brick bldg for sale steps to 59 st R train,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-package-deal-two-6-family/7161614887.html, (Sunset park)
Multifamily brick bldg.  For sale 16 units steps to 39st D train,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-multifamily-brick-bldg-for/7166089228.html, (Bklyn ny sunset Park)
Sunset Park 6 family + 4 stores+ vacant great for medical office,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-sunset-park-6-family-4-stores/7161614719.html, (Sunset park)
"148 Van Cortlandt  148 Van Cortlandt Part South, #4F, Bronx, NY 10463",,$2009,,,Jul 31,https://newyork.craigslist.org/brx/reb/d/bronx-148-van-cortlandt-148-van/7169199812.html, (Bronx)
"5,000 SF Yard for Sale - M1 Zoning - Bushwick",,$0,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/brooklyn-5000-sf-yard-for-sale-m1/7156207079.html, (Bushwick)
Brooklyn Chinatown loc. 7 family + store for sale Prime location,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-brooklyn-chinatown-loc-7/7158037072.html, (Sunset park)
3 bedroom 2bth Won't last Woodhaven refined Home Theater Cambria Heigh,,$1800,,,Jul 31,https://newyork.craigslist.org/que/reo/d/oakland-gardens-3-bedroom-2bth-wont/7169152524.html, (Bay Terrace or Far Rockaway)
$$$ || Brand New Construction Brick 2 Family Home For Sale  *** ;-) $#,,$0,,,Jul 31,https://newyork.craigslist.org/brx/reb/d/brand-new-construction-brick-2-family/7155779673.html,
Near 59st N train two 6 family brick bldg for sale good potential !,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-near-59st-train-two-6-family/7155090820.html, (Sunset Park)
Multifamily brick bldg.  For sale 16 units steps to 39st D train,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-multifamily-brick-bldg-for/7166089124.html, (Bklyn ny sunset Park)
Sunset Park Deli/ grocery store for sale 51st 4th Ave nr.R train,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-sunset-park-deli-grocery-store/7156816128.html, (Bklyn sunset Park)
"1802 Matthews Avenue, Bronx, NY 10462",,$2450,,,Jul 31,https://newyork.craigslist.org/brx/reb/d/bronx-1802-matthews-avenue-bronx-ny/7169197757.html, (Bronx)
Open House by Appointment Only 1 Bedroom Condo Private Yard Parking,,$625000,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/new-york-open-house-by-appointment-only/7159727253.html," (Bay Ridge, Brooklyn, New York)"
4 bedroom 3.5 bath 10 room 3835 sqft Colonial in Wilbraham Mass,,$504000,,,Jul 31,https://newyork.craigslist.org/mnh/reo/d/wilbraham-4-bedroom-35-bath-10-room/7163854471.html, (Wilbraham)
4 bedroom 3.5 bath 10 room 3835 sqft Colonial in Wilbraham Mass,,$504000,,,Jul 31,https://newyork.craigslist.org/mnh/reo/d/wilbraham-4-bedroom-35-bath-10-room/7166125986.html, (Wilbraham)
Luxurious 1 bedroom,,$269000,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/brooklyn-luxurious-1-bedroom/7169188095.html, (Brooklyn)
Commercaial & Residence 24 acres,,$449000,,,Jul 31,https://newyork.craigslist.org/lgi/reb/d/schoharie-commercaial-residence-24-acres/7169196576.html, (Schoharie)
1 Bedroom Excellent condition,,$269000,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/brooklyn-1-bedroom-excellent-condition/7169196047.html, (Brooklyn)
WORK IN YOUR OWN PRIVATE QUIET & SAFE  OFFICE,,$1900,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-work-in-your-own-private-quiet/7154290191.html, (Williamsburg Brooklyn)
WORK IN YOUR OWN PRIVATE QUIET & SAFE  OFFICE,,$1900,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-work-in-your-own-private-quiet/7154290291.html, (Williamsburg Brooklyn)
Your Own Quiet Safe Office Space- Newly Renovated  NO FEE,,$1400,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-your-own-quiet-safe-office/7156361566.html," (Williamsburg, Brooklyn)"
Your Own Quiet Safe Office Space- Newly Renovated  NO FEE,,$1400,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-your-own-quiet-safe-office/7169195751.html," (Williamsburg, Brooklyn)"
NEWLY RENOVATED Individual Lofts /offices Commercial Space,,$1900,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-newly-renovated-individual/7163757890.html, (Williamsburg)
Your Own Quiet Safe Office Space- Newly Renovated  NO FEE,,$1400,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-your-own-quiet-safe-office/7163757832.html," (Williamsburg, Brooklyn)"
Your Own Quiet Safe Office Space- Newly Renovated  NO FEE,,$1400,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-your-own-quiet-safe-office/7163757862.html," (Williamsburg, Brooklyn)"
"210-11 41st Avenue, #2, Bayside, NY 11361",,$2499,,,Jul 31,https://newyork.craigslist.org/brx/reb/d/bayside-st-avenue-2-bayside-ny-11361/7169194611.html, (Bayside)
Country setting in Rockefeller Township with 2.5 Acres of Land!,,$169900,,,Jul 31,https://newyork.craigslist.org/que/reb/d/trevorton-country-setting-in/7153066980.html, (Paxinos PA 17860)
Move In Ready 2 bedroom apartment,,$1800,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/brooklyn-move-in-ready-2-bedroom/7169193821.html, (Bath Beach)
"For Sale One family Duplex Brick, 35th St & Ditmars area",,$1079000,,,Jul 31,https://newyork.craigslist.org/que/reb/d/astoria-for-sale-one-family-duplex/7164662939.html, (Astoria)
Beautiful large and spacious 2.5 room Studio,,$269000,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/brooklyn-beautiful-large-and-spacious/7169193249.html, (Brooklyn)
1162 Greene Ave. 2 Br.,,$2200,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-1162-greene-ave-2-br/7169192959.html, (Bushwick)
Ready to get back to the grind free of Covid worries...?,,$0,,,Jul 31,https://newyork.craigslist.org/mnh/reo/d/new-york-ready-to-get-back-to-the-grind/7169192932.html, (Flatiron)
"Captivating Junior 1-bed, furnished or unfurhided",,$1700,,,Jul 31,https://newyork.craigslist.org/mnh/reo/d/new-york-captivating-junior-1-bed/7169192655.html, (Harlem / Morningside)
Fully Brick 3 Family Home For Sale  ||,,$999000,,,Jul 31,https://newyork.craigslist.org/brx/reb/d/fully-brick-3-family-home-for-sale/7155814900.html,
Commercial & Residence 24 acres,,$449000,,,Jul 31,https://newyork.craigslist.org/wch/reb/d/schoharie-commercial-residence-24-acres/7169190862.html, (Schoharie)
grassmere-rosebank,,$1900,,,Jul 31,https://newyork.craigslist.org/stn/reo/d/staten-island-grassmere-rosebank/7169190719.html, (Staten Island)
2 Bedroom South Freeport apartment,,$2050,,,Jul 31,https://newyork.craigslist.org/lgi/reo/d/freeport-2-bedroom-south-freeport/7169189302.html,
Adirondack House and Property,,$399000,,,Jul 31,https://newyork.craigslist.org/wch/reo/d/adirondack-house-and-property/7152199349.html, (Adirondacks)
24 hr. Grocery/ lotto store for rent next to r train,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-24-hr-grocery-lotto-store-for/7155090343.html, (Sunset park)
Multifamily brick bldg.  For sale 16 units steps to 39st D train,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-multifamily-brick-bldg-for/7155090976.html, (Bklyn ny sunset Park)
Portfolio of 6 sunset Park properties for sale by owner,,$0,,,Jul 31,https://newyork.craigslist.org/mnh/reo/d/brooklyn-portfolio-of-6-sunset-park/7155090494.html, (Bklyn ny sunset Park)
Doctor/ dentist's office for rent complete new renovation,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-doctor-dentists-office-for/7159466808.html, (Sunset park)
8th Ave Chinatown Vic. 6 family + 5 retail space for sale Nr. N train,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-8th-ave-chinatown-vic-6-family/7159724326.html, (Sunset Park)
24 hr. Grocery/ lotto store for rent next to r train,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-24-hr-grocery-lotto-store-for/7159724514.html, (Sunset park)
Package deal! Two 6 family brick bldg for sale steps to 59 st R train,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-package-deal-two-6-family/7163969359.html, (Sunset park)
For sale corner 6 family bldg + 5 store 1 store vacant,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-for-sale-corner-6-family-bldg/7163969726.html, (Sunset park)
Sunset Park 6 family + 4 stores+ vacant great for medical office,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-sunset-park-6-family-4-stores/7163969908.html, (Sunset park)
Newark NJ parking lot for rent Good for covid-19 testing site,,$0,,,Jul 31,https://newyork.craigslist.org/mnh/reo/d/newark-newark-nj-parking-lot-for-rent/7164550476.html, (Newark NJ)
布魯克林紐約唐人街所在地混合用途投資待售,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn/7164501850.html, (Sunset park)
8th Ave Chinatown Vic. 6 family + 5 retail space for sale Nr. N train,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-8th-ave-chinatown-vic-6-family/7164502317.html, (Sunset Park)
Multifamily brick bldg.  For sale 16 units steps to 39st D train,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-multifamily-brick-bldg-for/7164550130.html, (Bklyn ny sunset Park)
2 bedrooms 1 bathroom in Vineland NJ,,$85000,,,Jul 31,https://newyork.craigslist.org/jsy/reo/d/vineland-2-bedrooms-1-bathroom-in/7159933007.html,
8th Ave Chinatown Vic. 6 family + 5 retail space for sale Nr. N train,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-8th-ave-chinatown-vic-6-family/7167438194.html, (Sunset Park)
Multifamily brick bldg.  For sale 16 units steps to 39st D train,,$0,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-multifamily-brick-bldg-for/7167438466.html, (Bklyn ny sunset Park)
Duplex house: 6 beds 2 baths Newark NJ,,$227000,,,Jul 31,https://newyork.craigslist.org/jsy/reo/d/newark-duplex-house-6-beds-2-baths/7151747367.html,
3 bedrooms 1 bathroom in Vineland  NJ,,$48000,,,Jul 31,https://newyork.craigslist.org/jsy/reo/d/vineland-3-bedrooms-1-bathroom-in/7159916323.html,
Come see this large Aspen Knolls Townhouse nestled on a nice quiet blo,,$389900,,,Jul 31,https://newyork.craigslist.org/stn/reb/d/staten-island-come-see-this-large-aspen/7153295978.html, (Arden Heights)
4 bedrooms 1.5 bathrooms in Elizabeth NJ,,$125000,,,Jul 31,https://newyork.craigslist.org/jsy/reo/d/elizabeth-4-bedrooms-15-bathrooms-in/7161007176.html,
commercial property in Shrewsbury NJ,,$325000,,,Jul 31,https://newyork.craigslist.org/jsy/reo/d/shrewsbury-commercial-property-in/7161657074.html,
PRICED RIGHT! GREAT STARTER HOME FOR 1ST TIME HOMEOWNER!!!,,$199900,,,Jul 31,https://newyork.craigslist.org/stn/reb/d/staten-island-priced-right-great/7153296035.html, (STATEN ISLAND)
Well maintained end unit in private community. Near all stores & trans,,$99000,,,Jul 31,https://newyork.craigslist.org/stn/reb/d/staten-island-well-maintained-end-unit/7153296161.html, (Staten Island)
'ATTENTION BUILDERS SURVEY AVIAILABLE''! Large 51x111 vacant lot on a,,$350000,,,Jul 31,https://newyork.craigslist.org/stn/reb/d/staten-island-attention-builders-survey/7153296337.html, (Staten Island)
LOCATION AND SIZE MATTERS! Over 3000 sqft. This house sits on a 75x100,,$749000,,,Jul 31,https://newyork.craigslist.org/stn/reb/d/staten-island-location-and-size-matters/7153296437.html, (Staten Island)
This home is a large stately true 4 bedroom 1 family side-hall colonia,,$429000,,,Jul 31,https://newyork.craigslist.org/stn/reb/d/staten-island-this-home-is-large/7153297720.html, (Staten Island)
This legal 2 family detached corner property home is the home that kee,,$635000,,,Jul 31,https://newyork.craigslist.org/stn/reb/d/staten-island-this-legal-2-family/7153297833.html, (Staten Island)
Welcome to West New Brighton's newest addition to the market and it's,,$380000,,,Jul 31,https://newyork.craigslist.org/stn/reb/d/staten-island-welcome-to-west-new/7153297951.html, (Staten Island)
|| Fully Renovated 2 Family Home  ^ !!!,,$795000,,,Jul 31,https://newyork.craigslist.org/brx/reb/d/fully-renovated-2-family-home/7155803118.html,
Living is easy in this Impressive Over-sized 1 Family Detached Colonia,,$528000,,,Jul 31,https://newyork.craigslist.org/stn/reb/d/staten-island-living-is-easy-in-this/7153298049.html, (Staten Island)
ATTENTION INVESTORS!!! HUGE 4 FAMILY For Sale CURRENTLY GENERATING REV,,$1100000,,,Jul 31,https://newyork.craigslist.org/stn/reb/d/staten-island-attention-investors-huge/7153298128.html, (Staten Island)
Why rent? When you can own this beautiful ranch style home. Formal liv,,$309900,,,Jul 31,https://newyork.craigslist.org/stn/reb/d/staten-island-why-rent-when-you-can-own/7153299768.html, (Staten Island)
Submit an offer on this ''SHORT SALE'' in a DESIRABLE section of WEST,,$450000,,,Jul 31,https://newyork.craigslist.org/stn/reb/d/staten-island-submit-an-offer-on-this/7153299858.html, (Staten Island)
Great opportunity! Steps from Sung Harbor Cultural Center & Botanical,,$300000,,,Jul 31,https://newyork.craigslist.org/stn/reb/d/staten-island-great-opportunity-steps/7153299952.html, (Staten Island)
Large 3 bedroom coop,,$269000,,,Jul 31,https://newyork.craigslist.org/brk/reb/d/brooklyn-large-3-bedroom-coop/7169183522.html, (Brooklyn)
Well maintained end unit in private community. Near all stores & trans,,$99000,,,Jul 31,https://newyork.craigslist.org/stn/reb/d/staten-island-well-maintained-end-unit/7153300143.html, (Staten Island)
"Beachfront Home Zoned Commercial Residential,4000SF,.5ACRE, 4BDR,Store",,$459000,,,Jul 31,https://newyork.craigslist.org/mnh/reo/d/milford-beachfront-home-zoned/7169183302.html, (Slaughter Beach Delaware)
"@@@ ESCAPE TO FLORIDA, 2/2 CONDO UNDER 120K",,$119000,,,Jul 31,https://newyork.craigslist.org/jsy/reb/d/delray-beach-escape-to-florida-2-2/7169182476.html, (Delray Beach)
FURNISHED OFFICE SHARE MONDAYS AVAILABILITY,,$0,,,Jul 31,https://newyork.craigslist.org/mnh/reo/d/new-york-furnished-office-share-mondays/7169182345.html, (Chelsea)
2 FAMILY HOUSE FOR SALE,,$889000,,,Jul 31,https://newyork.craigslist.org/brx/reb/d/little-neck-2-family-house-for-sale/7169182068.html, (Throggs Neck)
2 BEDROOM CO-OP APT. FOR SALE,,$235000,,,Jul 31,https://newyork.craigslist.org/brx/reb/d/bronx-2-bedroom-co-op-apt-for-sale/7169181550.html, (Pelham Bay)
1 bedroom apt Coming soon,,$1500,,,Jul 31,https://newyork.craigslist.org/brk/reo/d/brooklyn-1-bedroom-apt-coming-soon/7165441187.html, (Brooklyn)
"IF YOU LOOKING FOR HOTELS, CASINOS LARGE APARTMENT BUILDINGS, CALL ME",,$0,,,Jul 31,https://newyork.craigslist.org/mnh/reo/d/new-york-if-you-looking-for-hotels/7169153575.html, (New York City)
spacious 2 bdrm,,$1800,,,Jul 31,https://newyork.craigslist.org/brx/reo/d/bronx-spacious-2-bdrm/7167544258.html, (Bronx NY)
1 Bdrm,40.632400,$1500,,-74.117100,Jul 31,https://newyork.craigslist.org/brx/reo/d/bronx-1-bdrm/7168028330.html, (saint lawrence ave)
3 Brm,40.632400,$2100,,-74.117100,Jul 31,https://newyork.craigslist.org/brx/reo/d/bronx-3-brm/7166775731.html, (Castle Hill ave)
Lovely studio,40.632400,$1200,,-74.117100,Jul 31,https://newyork.craigslist.org/brx/reo/d/bronx-lovely-studio/7159847656.html, (Zerega ave)
Beautiful Studio Prime Location Rego Park,40.632400,$1650,,-74.117100,Jul 31,https://newyork.craigslist.org/que/reb/d/rego-park-beautiful-studio-prime/7165975124.html, (Rego Park/Forest Hills/Queens)
Professional Recording Studios Build out available for sale,40.632400,$0,,-74.117100,Jul 31,https://newyork.craigslist.org/mnh/reo/d/new-york-professional-recording-studios/7169174392.html, (SoHo)
! || 2 Family Renovated Home With Full Finished Basement !* ###,40.632400,$795000,,-74.117100,Jul 31,https://newyork.craigslist.org/brx/reb/d/2-family-renovated-home-with-full/7155791681.html,
GORGEOUS CHELSEA SRO STUDIO,40.632400,$1620,,-74.117100,Jul 31,https://newyork.craigslist.org/mnh/reb/d/new-york-gorgeous-chelsea-sro-studio/7169177232.html, (Chelsea)
2 br/1bth 3 blocks from Central Park N $3000,40.632400,$3000,,-74.117100,Jul 31,https://newyork.craigslist.org/mnh/reo/d/new-york-2-br-1bth-3-blocks-from/7169177206.html, (Harlem / Morningside)
"43 Alan Terrace, 2 Family - NEW LOWER PRICE!",40.632400,$869000,,-74.117100,Jul 31,https://newyork.craigslist.org/jsy/reb/d/jersey-city-43-alan-terrace-2-family/7159076188.html, (Jersey City - Island Section)
3 bdrm,40.632400,$2000,,-74.117100,Jul 31,https://newyork.craigslist.org/brx/reo/d/bronx-3-bdrm/7154417006.html, (Westchester Square)
"RENTAL: 355 7th St., #L - 2BR, 1Ba",40.632400,$2400,,-74.117100,Jul 31,https://newyork.craigslist.org/jsy/reb/d/jersey-city-rental-355-7th-st-2br-1ba/7160435866.html, (Jersey City - Hamilton Park)
2 Bdrm,40.632400,$1700,,-74.117100,Jul 31,https://newyork.craigslist.org/brx/reo/d/bronx-2-bdrm/7152367368.html, (Castle Hill Ave)
1 Bdrm sec 8,40.632400,$1750,,-74.117100,Jul 31,https://newyork.craigslist.org/brx/reo/d/bronx-1-bdrm-sec-8/7152851126.html, (Bronx NY)
Huge 3 bdrm,40.632400,$2400,,-74.117100,Jul 31,https://newyork.craigslist.org/brx/reo/d/bronx-huge-3-bdrm/7152853611.html, (Bronx NY)
3 Bdrm,40.632400,$1900,,-74.117100,Jul 31,https://newyork.craigslist.org/brx/reo/d/bronx-3-bdrm/7152922803.html, (Bronx NY)
"1108 Hudson St., Unit 1A - 1 BR/1.5 Ba",40.632400,$629000,,-74.117100,Jul 31,https://newyork.craigslist.org/jsy/reb/d/hoboken-1108-hudson-st-unit-1a-1-br-15/7156133195.html, (Hoboken)
1Bdrm,40.632400,$1500,,-74.117100,Jul 31,https://newyork.craigslist.org/brx/reo/d/bronx-1bdrm/7156872746.html, (bronx ny)
"101 Kensington Ave., unit C1, 2 bed/1 bath CONDO",40.632400,$269000,,-74.117100,Jul 31,https://newyork.craigslist.org/jsy/reb/d/jersey-city-101-kensington-ave-unit-c1/7156133350.html, (Jersey City - Journal Square)
spacious 1 bdrm,40.632400,$1500,,-74.117100,Jul 31,https://newyork.craigslist.org/brx/reo/d/bronx-spacious-1-bdrm/7155013415.html, (MONTEGOMERY AVE)
"Office RENTAL - 761 BROADWAY - Great Location, New lower price!",40.632400,$1500,,-74.117100,Jul 31,https://newyork.craigslist.org/jsy/reb/d/bayonne-office-rental-broadway-great/7160436081.html, (Bayonne)
Huge 4 bdrm secion 8,40.632400,$2800,,-74.117100,Jul 31,https://newyork.craigslist.org/brx/reo/d/bronx-huge-4-bdrm-secion-8/7162859151.html, (Bronx NY)
5408 PARK AVE - Commercial/Mixed-Use Property,40.632400,$899000,,-74.117100,Jul 31,https://newyork.craigslist.org/jsy/reb/d/west-new-york-5408-park-ave-commercial/7160932319.html, (West New York)
"44 Sherman Ave, Unit 2F 1br / 1ba $279,000",40.632400,$279000,,-74.117100,Jul 31,https://newyork.craigslist.org/jsy/reb/d/jersey-city-44-sherman-ave-unit-2f-1br/7165001886.html, (Jersey City - Heights)
"355 7th St., #3L 2 bed, 1 bath condo for sale - NEW LOWER PRICE!",40.632400,$449000,,-74.117100,Jul 31,https://newyork.craigslist.org/jsy/reb/d/jersey-city-355-7th-st-3l-2-bed-1-bath/7160435640.html, (Jersey City - Hamilton Park)
"309 Monroe St. # 1- Modern 1 bed, 1bath condo - PRICE IMPROVEMENT!!",40.632400,$399000,,-74.117100,Jul 31,https://newyork.craigslist.org/jsy/reb/d/hoboken-309-monroe-st-1-modern-1-bed/7162576382.html, (Hoboken)
